# compute-mfcc-feats --write-utt2dur=ark,t:exp/make_mfcc/train_teamlab/utt2dur.1 --verbose=2 --config=conf/mfcc.conf scp,p:exp/make_mfcc/train_teamlab/wav_train_teamlab.1.scp ark:- | copy-feats --write-num-frames=ark,t:exp/make_mfcc/train_teamlab/utt2num_frames.1 --compress=true ark:- ark,scp:/mount/studenten/arbeitsdaten-studenten1/team-lab-phonetics/2021/student_directories/Vanessa_Dengel/kaldi/egs/teamlab/s5/mfcc/raw_mfcc_train_teamlab.1.ark,/mount/studenten/arbeitsdaten-studenten1/team-lab-phonetics/2021/student_directories/Vanessa_Dengel/kaldi/egs/teamlab/s5/mfcc/raw_mfcc_train_teamlab.1.scp 
# Started at Thu May 27 13:39:30 CEST 2021
#
copy-feats --write-num-frames=ark,t:exp/make_mfcc/train_teamlab/utt2num_frames.1 --compress=true ark:- ark,scp:/mount/studenten/arbeitsdaten-studenten1/team-lab-phonetics/2021/student_directories/Vanessa_Dengel/kaldi/egs/teamlab/s5/mfcc/raw_mfcc_train_teamlab.1.ark,/mount/studenten/arbeitsdaten-studenten1/team-lab-phonetics/2021/student_directories/Vanessa_Dengel/kaldi/egs/teamlab/s5/mfcc/raw_mfcc_train_teamlab.1.scp 
compute-mfcc-feats --write-utt2dur=ark,t:exp/make_mfcc/train_teamlab/utt2dur.1 --verbose=2 --config=conf/mfcc.conf scp,p:exp/make_mfcc/train_teamlab/wav_train_teamlab.1.scp ark:- 
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_1803_26_1809_07
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_1809_81_1812_29
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_1812_56_1820_31
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_1822_01_1828_39
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_1828_42_1834_96
LOG (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:181) Processed 50 utterances
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_1837_90_1840_81
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_1841_62_1847_28
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_1850_50_1857_53
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_185_16_194_15
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_1867_43_1877_78
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_1878_87_1886_05
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_1887_07_1893_58
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_1895_00_1918_15
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_18_64_27_70
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_1918_78_1926_90
LOG (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:181) Processed 60 utterances
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_1927_15_1938_02
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_1938_38_1940_74
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_1944_01_1949_07
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_195_20_204_09
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_1963_35_1980_50
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_1983_27_1988_44
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_1996_33_2000_19
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_2010_06_2028_70
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_2034_04_2044_12
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_2063_99_2082_46
LOG (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:181) Processed 70 utterances
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_2082_78_2101_90
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_2102_36_2133_51
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_2140_35_2151_52
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_2152_48_2173_62
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_217_99_223_55
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_2242_54_2247_95
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_2248_50_2260_39
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_2260_69_2268_91
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_2268_92_2280_38
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_2280_39_2287_42
LOG (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:181) Processed 80 utterances
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_2289_10_2300_49
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_2301_29_2312_66
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_2315_96_2318_62
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_235_16_241_42
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_241_61_246_59
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_267_34_282_32
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_284_21_290_49
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_28_33_34_36
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_292_12_300_07
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_303_41_305_04
LOG (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:181) Processed 90 utterances
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_306_62_313_90
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_361_33_369_64
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_370_43_391_67
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_392_81_400_57
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_400_93_406_13
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_406_83_414_17
